City,State,2021 estimate,2020 census,Change (%),2020 land area (square miles),2020 population density (people per square mile),Location
Sandy Springs,Georgia,107180,108080,-0.83,37.7,2867,33°56′N 84°22′W
West Covina,California,107017,109501,-2.27,16.0,6844,34°03′N 117°54′W
Green Bay,Wisconsin,107015,107395,-0.35,45.5,2360,44°31′N 87°59′W
Centennial,Colorado,106966,108418,-1.34,29.7,3650,39°35′N 104°52′W
Jurupa Valley,California,106941,105053,1.8,42.9,2449,34°00′N 117°28′W
El Monte,California,106907,109450,-2.32,9.6,11401,34°04′N 118°01′W
Allen,Texas,106874,104627,2.15,26.4,3963,33°05′N 96°40′W
Hillsboro,Oregon,106633,106447,0.17,25.7,4142,45°31′N 122°56′W
Menifee,California,106401,102527,3.78,46.5,2205,33°41′N 117°11′W
Nampa,Idaho,106186,100200,5.97,33.5,2991,43°34′N 116°34′W
Spokane Valley,Washington,105905,102976,2.84,37.7,2731,47°40′N 117°14′W
Rio Rancho,New Mexico,105834,104046,1.72,103.4,1006,35°17′N 106°40′W
Brockton,Massachusetts,105446,105643,-0.19,21.3,4960,42°05′N 71°01′W
El Cajon,California,105432,106215,-0.74,14.5,7325,32°48′N 116°58′W
Burbank,California,105401,107337,-1.8,17.3,6204,34°11′N 118°19′W
Inglewood,California,105181,107762,-2.4,9.1,11842,33°57′N 118°20′W
Renton,Washington,105179,106785,-1.5,23.5,4544,47°28′N 122°11′W
Davie,Florida,104882,105691,-0.77,34.9,3028,26°04′N 80°17′W
Rialto,California,104394,104026,0.35,24.1,4316,34°07′N 117°23′W
Boulder,Colorado,104175,108250,-3.76,26.3,4116,40°01′N 105°15′W
South Bend,Indiana,103353,103453,-0.1,42.0,2463,41°40′N 86°16′W
Woodbridge,New Jersey,103212,103639,-0.41,23.3,4448,40°34′N 74°17′W
Vacaville,California,103078,102386,0.68,29.9,3424,38°21′N 121°58′W
Wichita Falls,Texas,102988,102316,0.66,72.0,1421,33°54′N 98°31′W
Lee's Summit,Missouri,102781,101108,1.65,63.9,1582,38°55′N 94°22′W
Edinburg,Texas,102483,100243,2.23,44.7,2243,26°18′N 98°10′W
Chico,California,102338,101475,0.85,34.1,2976,39°44′N 121°50′W
San Mateo,California,102200,105661,-3.28,12.1,8732,37°34′N 122°19′W
Bend,Oregon,102059,99178,2.9,33.6,2952,44°18′N 121°11′W
Goodyear,Arizona,101733,95294,6.76,191.3,498,33°27′N 112°22′W
Buckeye,Arizona,101315,91502,10.72,393.0,233,33°22′N 112°35′W
Daly City,California,101243,104901,-3.49,7.6,13803,37°42′N 122°28′W
Fishers,Indiana,101171,98977,2.22,35.6,2780,39°58′N 86°01′W
Quincy,Massachusetts,101119,101636,-0.51,16.6,6123,42°15′N 71°00′W
Davenport,Iowa,101009,101724,-0.7,63.8,1594,41°33′N 90°36′W
Hesperia,California,100971,99818,1.16,72.7,1373,34°25′N 117°19′W
New Bedford,Massachusetts,100941,101079,-0.14,20.0,5054,41°38′N 70°56′W
Lynn,Massachusetts,100843,101253,-0.4,10.7,9463,42°28′N 70°57′W
Carmel,Indiana,100777,99757,1.02,49.1,2032,39°35′N 86°36′W
Longmont,Colorado,100758,98885,1.89,28.8,3434,40°10′N 105°07′W
Tuscaloosa,Alabama,100618,99600,1.02,61.9,1609,33°13′N 87°32′W
Norwalk,California,100373,102773,-2.34,9.7,10595,33°54′N 118°05′W
